"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","question_order","word","rt_total","sentence","condition","correct_response","question_response","correct","part","id","task","color","position","target","probe","target_position","probe_position","target_freq","probe_freq","target_root","probe_root","target_rootfreq","probet_rootfreq","target_gloss","probe_gloss"
"pavlovia","0","1281","0.0-0.0","OEPaU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","13268","0.0-1.0","OEPaU","true","10984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"virtual-chinrest","2","89452","0.0-2.0","OEPaU","","76178","85.6","53.98","250","2.92","234.41","20.69485880722071","12.080295030221306","119.20238672959131","74.50149170599457","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","92391","0.0-3.0-0.0","OEPaU","","2935","","","","","","","","","","[""<div style='text-align: left;'><h><i>Please read this information carefully before deciding whether you would like to participate in this study. You have to be 18 years old or older to participate in this study or with a parent's permission. </i></h><p><b>Introduction</b></p><p>You have been invited to participate in a research study to learn more about the nature of word perception. This study is funded by New York University Abu Dhabi and approved by the NYUAD IRB. The study is directed by Prof. David Melcher, Professor of Psychology at New York University Abu Dhabi.</p><p><b>Procedure</b></p><p>Before starting the experiment, we kindly request some demographic information from you. This may include details such as your gender, age, and ethnicity. During the experiment, you will encounter a series of Arabic words. Your task will be to respond to specific prompts or questions related to these words. The experiment aims to gather insights into your reading and comprehension of Arabic language stimuli.</p><p><b>Risks and benefits</b></p><p>Please read through this section. If after reading the section you do not wish to participate, then feel free to inform the experimenter and end your participation at any point without further explanation. Even after the study has started, you can withdraw at any time. There are no known significant risks or side effects with this experiment. The images or sounds will be presented at safe levels. Some observers may experience fatigue or eyestrain as a result of extended computer viewing, so it is recommended that you take advantage of scheduled breaks or rest when needed. In the case of any general emergency on campus that also affects this location, there are documented standard operating procedures (SOPs) to properly handle these situations, and our research staff, as well as the Public Safety personnel, are trained to handle emergency situations. Feel free to ask for the emergency SOP procedure before commencing the experiment. You will receive no direct risks from participation in this study. However, this research may contribute to our understanding of the neural mechanisms that underlie sensory perception.</p><p><b>Costs and compensation</b></p><p>You will receive an Amazon voucher for 30 AED per half hour of the study. Or, you can choose to receive class credit for 0.5 credit per half hour. Should you withdraw before the end of the study, this allowance will be given based on the time that has passed (i.e., if you complete between 0-0.5 hours of the study you will receive a subsistence allowance of 30 Dirhams or 0.5 credit; if you complete between 0.5-1 hours of the study you will receive a subsistence allowance of 60 Dirhams or 1 credit. There will be no cost to you associated with participation in this study.</p><p><b>Rights</b></p><p>Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. Nonparticipation or withdrawal will not affect your grades, academic standing, or employment status. If there is anything about the study or your participation that is unclear or that you do not understand, or if you have questions or wish to report a research-related problem, you may contact the Principal Investigator, Prof. David Melcher, at dm93@nyu.edu. For more information or questions about your rights as a research participant, or if you are not satisfied with the manner in which this study is being carried out, you may contact the Institutional Review Board (IRB) at New York University Abu Dhabi (IRBnyuad@nyu.edu; +971.2.628.4000).</p><p><b>Confidentiality</b></p><p>Confidentiality of your research records will be strictly maintained. Your personal information (name, vision value, etc.) will be stored separately from your data. Your personal information will be used only if you request the compensation, for the purposes of the compensation. All other data will only be linked to a code number. The code key connecting your name to specific information about you will be kept in a separate, secure location. All the recorded data will be stripped out of your personal information and only linked to you with a unique subject identifier.</p><p>The results of this study may be published in a book, journal, or conference, or used for teaching purposes. However, your name or any other identifiers that could identify you will not be used in any publication or teaching materials. Your data may be shared anonymously (that is, without identifying whom the data belongs to) for teaching purposes, research (such as in academic databases), or displayed at scientific conferences or in publications.</p><p>Provided we get your consent, your non-anonymized data may also be shared with other researchers at NYUAD, depending on your response to these questions (about sharing this data with other projects) during the informed consent process. The reason for including non-anonymized data would only be in order to combine some data from one study with data from another study for the same participant.</p><p><b>  Do you consent to participate in this experiment? </b></p>""]","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","93629","0.0-4.0-0.0","OEPaU","","734","","","","","","","","","","<h2>Welcome to the experiment.</h2><p>This experiment should take roughly 30 minutes to complete.</p><p>First, you will fill out a short questionnaire. After the questionnaire, we will assess your reading level in Arabic.</p><p>Following this, you will be ready to begin the experiment.</p><p>Press any key to continue.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","5","96490","0.0-4.0-1.0","OEPaU","","2331","","","","","","","","","","","{""age"":"""",""email"":"""",""country"":""""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","6","116011","0.0-5.0-0.0","OEPaU","","19517","","","","","","","","","","","{""BiologicalSex"":""Female"",""Dyslexia"":""No"",""Lens"":""No"",""DomHand"":""Left"",""MultEnv"":""No"",""ArabFirst"":""No"",""ArabicDialect"":""North African (Morocco, Algeria, Tunisia, Libya)"",""SpeakinArabic"":""50-60%"",""ReadinArabic"":""50-60%"",""WriteinArabic"":""30-40%""}","[0,1,2,3,4,5,6,7,8,9]","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","116985","0.0-6.0","OEPaU","","970","","","","","","","","","","<p>You are now going to see Arabic sentences on the screen, one after the other. Each sentence is broken up into words. You can reveal the sentence word-by-word by <b>repeatedly hitting the spacebar.</b> After reading, you will see a question. You will have to indicate whether the statement is correct or not. It is important that you really <i>read</i> each sentence.</p><p><i>Press any key when ready to start.</i></p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"self-paced-reading","8","125046","0.0-7.0-0.0","OEPaU","","[379,321,208,156,238,157,227,188,184,192,195,274,232,212,188,201,200,225,197,163,162,210,150,224,153,223,158,190,188,168,187,197,195,191,193,168,187,180,161,230]","","","","","","","","","","","","","[null,""كان"",""فيما"",""مضى"",""رجل"",""وزوجته،"",""وكان"",""لديهما"",""خاتم"",""من"",""الذهب.كان"",""هذا"",""خاتم"",""حظ،"",""وكل"",""من"",""يمتلكه"",""يصبح"",""لديه"",""ما"",""يكفي"",""ليعيش،ولكنهم"",""لم"",""يعلموا"",""بذلك"",""وقاموا"",""ببيع"",""الخاتم"",""بثمن"",""زهيد.وبمجرد"",""ذهاب"",""الخاتم"",""أخذ"",""فقرهم"",""يزداد"",""شيئا"",""فشيئا."",null,null,null]","[379,700,908,1064,1302,1459,1686,1874,2058,2250,2445,2719,2951,3163,3351,3552,3752,3977,4174,4337,4499,4709,4859,5083,5236,5459,5617,5807,5995,6163,6350,6547,6742,6933,7126,7294,7481,7661,7822,8052]","كان فيما مضى رجل وزوجته، وكان لديهما خاتم من الذهب.كان هذا خاتم حظ، وكل من يمتلكه يصبح لديه ما يكفي ليعيش،ولكنهم لم يعلموا بذلك وقاموا ببيع الخاتم بثمن زهيد.وبمجرد ذهاب الخاتم أخذ فقرهم يزداد شيئا فشيئا.","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","125984","0.0-7.0-1.0","OEPaU","","935","","","","","","","","","","<div style=""font-size: 24px;"">هل الخاتم من الذهب؟</div>","0","","","","","self_paced_reading","0","true","true","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","126323","0.0-7.0-2.0","OEPaU","","335","","","","","","","","","","<p>Correct!</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"self-paced-reading","11","133598","0.0-7.0-0.1","OEPaU","","[378,171,209,186,185,162,411,203,178,202,201,201,194,191,190,180,179,420,218,189,191,206,180,222,193,196,237,138,234,201,196,213,184,230]","","","","","","","","","","","","","[null,"""",""الناس"",""جميعا"",""سواء"",""أمام"",""القانون،"",""وهم"",""يتساوون"",""في"",""حق"",""التمتع"",""بحماية"",""القانون"",""دونما"",""تمييز،"",""كما"",""يتساوون"",""في"",""حق"",""التمتع"",""بالحماية"",""من"",""أي"",""تمييز"",""ينتهك"",""هذا"",""الإعلان"",""ومن"",""أي"",""تحريض"",""على"",""مثل"",""هذا""]","[378,549,758,944,1129,1291,1702,1905,2083,2285,2486,2687,2881,3072,3262,3442,3621,4041,4259,4448,4639,4845,5025,5247,5440,5636,5873,6011,6245,6446,6642,6855,7039,7269]"," الناس جميعا سواء أمام القانون، وهم يتساوون في حق التمتع بحماية القانون دونما تمييز، كما يتساوون في حق التمتع بالحماية من أي تمييز ينتهك هذا الإعلان ومن أي تحريض على مثل هذا التمييز.","","","","","","","","","","","","","","","","","","","","",""
